,"X,Y,Z,Sequence"
0,"-0.24062547087669373,5.265261650085449,8.129216194152832,0"
1,"-0.23822999000549316,5.23651647567749,8.155566215515137,1"
2,"-0.23822999000549316,5.214956760406494,8.328041076660156,2"
3,"-0.35560840368270874,5.198188304901123,8.471769332885742,3"
4,"-0.477777898311615,5.231725215911865,8.27534008026123,4"
5,"-0.26458024978637695,5.179024696350098,8.282526969909668,5"
6,"-0.26458024978637695,5.202979564666748,8.459792137145996,6"
7,"-0.16157469153404236,5.179024696350098,8.694548606872559,7"
8,"-0.31488531827926636,5.485645771026611,7.784267425537109,8"
9,"-0.3340491056442261,5.3922224044799805,8.01662826538086,9"
10,"-0.35321295261383057,5.265261650085449,8.536447525024414,10"
11,"-0.2549983263015747,5.123929023742676,8.6514310836792,11"
12,"-0.21187976002693176,5.308380603790283,7.872900009155273,12"
13,"-0.2669757306575775,5.289216995239258,8.045373916625977,13"
14,"-0.35321295261383057,5.294007778167725,8.397509574890137,14"
15,"-0.3699812889099121,5.174233913421631,8.210661888122559,15"
16,"-0.2502073645591736,5.327544212341309,7.944764614105225,16"
17,"-0.13282892107963562,5.303589344024658,7.86331844329834,17"
18,"-0.41789084672927856,5.303589344024658,7.983091831207275,18"
19,"-0.19271591305732727,5.397013187408447,7.985487461090088,19"
20,"-0.21906614303588867,5.31317138671875,8.119634628295898,20"
21,"-0.20229780673980713,5.351499080657959,8.507701873779297,21"
22,"-0.14241084456443787,5.36826753616333,8.047769546508789,22"
23,"-0.32925817370414734,5.456900596618652,7.6477251052856445,23"
24,"-0.13761991262435913,5.655725002288818,7.99746561050415,24"
25,"-0.42507731914520264,5.6677021980285645,7.506392002105713,25"
26,"-0.13282892107963562,5.782685279846191,7.417759895324707,26"
27,"0.25284308195114136,5.52397346496582,7.99746561050415,27"
28,"0.3965718150138855,5.3155670166015625,6.986573219299316,28"
29,"0.039645515382289886,5.729984760284424,6.78774881362915,29"
30,"-0.4969416856765747,6.106074810028076,7.59023380279541,30"
31,"-0.11845606565475464,5.758730411529541,8.088493347167969,31"
32,"-0.36758583784103394,5.753939151763916,7.841759204864502,32"
33,"-0.36758583784103394,5.753939151763916,7.841759204864502,33"
34,"-0.36758583784103394,5.753939151763916,7.841759204864502,34"
35,"-0.36758583784103394,5.753939151763916,7.841759204864502,35"
36,"-0.36758583784103394,5.753939151763916,7.841759204864502,36"
37,"-0.36758583784103394,5.753939151763916,7.841759204864502,37"
38,"-0.36758583784103394,5.753939151763916,7.841759204864502,38"
39,"-0.36758583784103394,5.753939151763916,7.841759204864502,39"
40,"-0.36758583784103394,5.753939151763916,7.841759204864502,40"
41,"-0.36758583784103394,5.753939151763916,7.841759204864502,41"
42,"-0.36758583784103394,5.753939151763916,7.841759204864502,42"
43,"-0.36758583784103394,5.753939151763916,7.841759204864502,43"
44,"-0.36758583784103394,5.753939151763916,7.841759204864502,44"
45,"-0.36758583784103394,5.753939151763916,7.841759204864502,45"
46,"-0.36758583784103394,5.753939151763916,7.841759204864502,46"
47,"-0.36758583784103394,5.753939151763916,7.841759204864502,47"
48,"-0.36758583784103394,5.753939151763916,7.841759204864502,48"
49,"-0.36758583784103394,5.753939151763916,7.841759204864502,49"
50,"-0.36758583784103394,5.753939151763916,7.841759204864502,50"
51,"-0.36758583784103394,5.753939151763916,7.841759204864502,51"
52,"-0.36758583784103394,5.753939151763916,7.841759204864502,52"
53,"-0.36758583784103394,5.753939151763916,7.841759204864502,53"
54,"-0.36758583784103394,5.753939151763916,7.841759204864502,54"
55,"-0.36758583784103394,5.753939151763916,7.841759204864502,55"
56,"-0.36758583784103394,5.753939151763916,7.841759204864502,56"
57,"-0.36758583784103394,5.753939151763916,7.841759204864502,57"
58,"-0.36758583784103394,5.753939151763916,7.841759204864502,58"
59,"-0.36758583784103394,5.753939151763916,7.841759204864502,59"
60,"-0.36758583784103394,5.753939151763916,7.841759204864502,60"
61,"-0.36758583784103394,5.753939151763916,7.841759204864502,61"
62,"-0.36758583784103394,5.753939151763916,7.841759204864502,62"
63,"-0.36758583784103394,5.753939151763916,7.841759204864502,63"
64,"-0.36758583784103394,5.753939151763916,7.841759204864502,64"
65,"-0.36758583784103394,5.753939151763916,7.841759204864502,65"
66,"-0.36758583784103394,5.753939151763916,7.841759204864502,66"
67,"-0.36758583784103394,5.753939151763916,7.841759204864502,67"
68,"-0.36758583784103394,5.753939151763916,7.841759204864502,68"
69,"-0.36758583784103394,5.753939151763916,7.841759204864502,69"
70,"-0.36758583784103394,5.753939151763916,7.841759204864502,70"
71,"-0.36758583784103394,5.753939151763916,7.841759204864502,71"
72,"-0.36758583784103394,5.753939151763916,7.841759204864502,72"
73,"-0.36758583784103394,5.753939151763916,7.841759204864502,73"
74,"-0.36758583784103394,5.753939151763916,7.841759204864502,74"
75,"-0.36758583784103394,5.753939151763916,7.841759204864502,75"
76,"-0.36758583784103394,5.753939151763916,7.841759204864502,76"
77,"-0.36758583784103394,5.753939151763916,7.841759204864502,77"
78,"-0.36758583784103394,5.753939151763916,7.841759204864502,78"
79,"-0.36758583784103394,5.753939151763916,7.841759204864502,79"
80,"-0.36758583784103394,5.753939151763916,7.841759204864502,80"
81,"-0.36758583784103394,5.753939151763916,7.841759204864502,81"
82,"-0.36758583784103394,5.753939151763916,7.841759204864502,82"
83,"-0.36758583784103394,5.753939151763916,7.841759204864502,83"
84,"-0.36758583784103394,5.753939151763916,7.841759204864502,84"
85,"-0.36758583784103394,5.753939151763916,7.841759204864502,85"
86,"-0.36758583784103394,5.753939151763916,7.841759204864502,86"
87,"-0.36758583784103394,5.753939151763916,7.841759204864502,87"
88,"-0.36758583784103394,5.753939151763916,7.841759204864502,88"
89,"-0.36758583784103394,5.753939151763916,7.841759204864502,89"
90,"-0.36758583784103394,5.753939151763916,7.841759204864502,90"
91,"-0.36758583784103394,5.753939151763916,7.841759204864502,91"
92,"-0.36758583784103394,5.753939151763916,7.841759204864502,92"
93,"-0.36758583784103394,5.753939151763916,7.841759204864502,93"
94,"-0.36758583784103394,5.753939151763916,7.841759204864502,94"
95,"-0.36758583784103394,5.753939151763916,7.841759204864502,95"
96,"-0.36758583784103394,5.753939151763916,7.841759204864502,96"
97,"-0.36758583784103394,5.753939151763916,7.841759204864502,97"
98,"-0.36758583784103394,5.753939151763916,7.841759204864502,98"
99,"-0.36758583784103394,5.753939151763916,7.841759204864502,99"
100,"-0.36758583784103394,5.753939151763916,7.841759204864502,100"
101,"-0.36758583784103394,5.753939151763916,7.841759204864502,101"
102,"-0.36758583784103394,5.753939151763916,7.841759204864502,102"
103,"-0.36758583784103394,5.753939151763916,7.841759204864502,103"
104,"-0.36758583784103394,5.753939151763916,7.841759204864502,104"
105,"-0.36758583784103394,5.753939151763916,7.841759204864502,105"
106,"-0.36758583784103394,5.753939151763916,7.841759204864502,106"
107,"-0.36758583784103394,5.753939151763916,7.841759204864502,107"
108,"-0.36758583784103394,5.753939151763916,7.841759204864502,108"
109,"-0.36758583784103394,5.753939151763916,7.841759204864502,109"
110,"-0.36758583784103394,5.753939151763916,7.841759204864502,110"
111,"-0.36758583784103394,5.753939151763916,7.841759204864502,111"
112,"-0.36758583784103394,5.753939151763916,7.841759204864502,112"
113,"-0.36758583784103394,5.753939151763916,7.841759204864502,113"
114,"-0.36758583784103394,5.753939151763916,7.841759204864502,114"
115,"-0.36758583784103394,5.753939151763916,7.841759204864502,115"
116,"-0.36758583784103394,5.753939151763916,7.841759204864502,116"
117,"-0.36758583784103394,5.753939151763916,7.841759204864502,117"
118,"-0.36758583784103394,5.753939151763916,7.841759204864502,118"
119,"-0.36758583784103394,5.753939151763916,7.841759204864502,119"
120,"-0.36758583784103394,5.753939151763916,7.841759204864502,120"
121,"-0.36758583784103394,5.753939151763916,7.841759204864502,121"
122,"-0.36758583784103394,5.753939151763916,7.841759204864502,122"
123,"-0.36758583784103394,5.753939151763916,7.841759204864502,123"
124,"-0.36758583784103394,5.753939151763916,7.841759204864502,124"
125,"-0.36758583784103394,5.753939151763916,7.841759204864502,125"
126,"-0.36758583784103394,5.753939151763916,7.841759204864502,126"
127,"-0.36758583784103394,5.753939151763916,7.841759204864502,127"
128,"-0.36758583784103394,5.753939151763916,7.841759204864502,128"
129,"-0.36758583784103394,5.753939151763916,7.841759204864502,129"
130,"-0.36758583784103394,5.753939151763916,7.841759204864502,130"
131,"-0.36758583784103394,5.753939151763916,7.841759204864502,131"
132,"-0.36758583784103394,5.753939151763916,7.841759204864502,132"
133,"-0.36758583784103394,5.753939151763916,7.841759204864502,133"
